Comunidades y ciudades autónomas de residencia,Sexo,Medio empleado,Total
"Navarra, Comunidad Foral de",Hombres,X71. Lesión autoinfligida intencionalmente por ahogamiento y sumersión,3.0
"Navarra, Comunidad Foral de",Hombres,X72. Lesión autoinfligida intencionalmente por disparo de arma corta,1.0
"Navarra, Comunidad Foral de",Hombres,"X73. Lesión autoinfligida intencionalmente por disparo de rifle, escopeta y arma larga",0.0
"Navarra, Comunidad Foral de",Hombres,"X74. Lesión autoinfligida intencionalmente por disparo de otras armas de fuego, y las no especificadas",0.0
"Navarra, Comunidad Foral de",Hombres,X75. Lesión autoinfligida intencionalmente por material explosivo,0.0
"Navarra, Comunidad Foral de",Hombres,"X76. Lesión autoinfligida intencionalmente por humo, fuego y llamas",0.0
"Navarra, Comunidad Foral de",Hombres,"X77. Lesión autoinfligida intencionalmente por vapor de agua, otros vapores y objetos calientes",0.0
"Navarra, Comunidad Foral de",Hombres,X78. Lesión autoinfligida intencionalmente por objeto cortante,2.0
"Navarra, Comunidad Foral de",Hombres,X79. Lesión autoinfligida intencionalmente por objeto romo o sin filo,0.0
"Navarra, Comunidad Foral de",Hombres,X80. Lesión autoinfligida intencionalmente al saltar desde un lugar elevado,11.0
"Navarra, Comunidad Foral de",Hombres,X81. Lesión autoinfligida intencionalmente por arrojarse o colocarse delante de objeto en movimiento,1.0
"Navarra, Comunidad Foral de",Hombres,X82. Lesión autoinfligida intencionalmente por colisión de vehículo de motor,0.0
"Navarra, Comunidad Foral de",Hombres,X83. Lesión autoinfligida intencionalmente por otros medios especificados,0.0
"Navarra, Comunidad Foral de",Hombres,X84. Lesión autoinfligida intencionalmente por medios no especificados,0.0
"Navarra, Comunidad Foral de",Mujeres,Total,19.0
"Navarra, Comunidad Foral de",Mujeres,"X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos",0.0
"Navarra, Comunidad Foral de",Mujeres,"X61. Envenenamiento autoinfligido intencionalmente por (exposición a) drogas antiepilépticas, sedantes, hipnóticas, antiparkinsonianas y psicotrópicas, no clasificadas en otra parte",3.0
"Navarra, Comunidad Foral de",Mujeres,"X62. Envenenamiento autoinfligido intencionalmente por (exposición a) narcóticos y psicodislépticos, no clasificados en otra parte",0.0
"Navarra, Comunidad Foral de",Mujeres,X63. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas que actúan sobre el sistema nervioso autónomo,0.0
"Navarra, Comunidad Foral de",Mujeres,"X64. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas, medicamentos y sustancias biológicas, y los no especificados",0.0
"Navarra, Comunidad Foral de",Mujeres,X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol,0.0
"Navarra, Comunidad Foral de",Mujeres,X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores,0.0
"Navarra, Comunidad Foral de",Mujeres,X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores,0.0
"Navarra, Comunidad Foral de",Mujeres,X68. Envenenamiento autoinfligido intencionalmente por (exposición a) plaguicidas,0.0
"Navarra, Comunidad Foral de",Mujeres,"X69. Envenenamiento autoinfligido intencionalmente por (exposición a) otros productos químicos y sustancias nocivas, y los no especificados",0.0
"Navarra, Comunidad Foral de",Mujeres,"X70. Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",3.0
"Navarra, Comunidad Foral de",Mujeres,X71. Lesión autoinfligida intencionalmente por ahogamiento y sumersión,0.0
"Navarra, Comunidad Foral de",Mujeres,X72. Lesión autoinfligida intencionalmente por disparo de arma corta,0.0
"Navarra, Comunidad Foral de",Mujeres,"X73. Lesión autoinfligida intencionalmente por disparo de rifle, escopeta y arma larga",0.0
"Navarra, Comunidad Foral de",Mujeres,"X74. Lesión autoinfligida intencionalmente por disparo de otras armas de fuego, y las no especificadas",0.0
"Navarra, Comunidad Foral de",Mujeres,X75. Lesión autoinfligida intencionalmente por material explosivo,0.0
"Navarra, Comunidad Foral de",Mujeres,"X76. Lesión autoinfligida intencionalmente por humo, fuego y llamas",0.0
"Navarra, Comunidad Foral de",Mujeres,"X77. Lesión autoinfligida intencionalmente por vapor de agua, otros vapores y objetos calientes",0.0
"Navarra, Comunidad Foral de",Mujeres,X78. Lesión autoinfligida intencionalmente por objeto cortante,1.0
"Navarra, Comunidad Foral de",Mujeres,X79. Lesión autoinfligida intencionalmente por objeto romo o sin filo,0.0
"Navarra, Comunidad Foral de",Mujeres,X80. Lesión autoinfligida intencionalmente al saltar desde un lugar elevado,12.0
"Navarra, Comunidad Foral de",Mujeres,X81. Lesión autoinfligida intencionalmente por arrojarse o colocarse delante de objeto en movimiento,0.0
"Navarra, Comunidad Foral de",Mujeres,X82. Lesión autoinfligida intencionalmente por colisión de vehículo de motor,0.0
"Navarra, Comunidad Foral de",Mujeres,X83. Lesión autoinfligida intencionalmente por otros medios especificados,0.0
"Navarra, Comunidad Foral de",Mujeres,X84. Lesión autoinfligida intencionalmente por medios no especificados,0.0
País Vasco,Ambos sexos,Total,174.0
País Vasco,Ambos sexos,"X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos",1.0
País Vasco,Ambos sexos,"X61. Envenenamiento autoinfligido intencionalmente por (exposición a) drogas antiepilépticas, sedantes, hipnóticas, antiparkinsonianas y psicotrópicas, no clasificadas en otra parte",7.0
País Vasco,Ambos sexos,"X62. Envenenamiento autoinfligido intencionalmente por (exposición a) narcóticos y psicodislépticos, no clasificados en otra parte",0.0
País Vasco,Ambos sexos,X63. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas que actúan sobre el sistema nervioso autónomo,0.0
País Vasco,Ambos sexos,"X64. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas, medicamentos y sustancias biológicas, y los no especificados",8.0
País Vasco,Ambos sexos,X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol,0.0
País Vasco,Ambos sexos,X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores,0.0
País Vasco,Ambos sexos,X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores,2.0
País Vasco,Ambos sexos,X68. Envenenamiento autoinfligido intencionalmente por (exposición a) plaguicidas,0.0
País Vasco,Ambos sexos,"X69. Envenenamiento autoinfligido intencionalmente por (exposición a) otros productos químicos y sustancias nocivas, y los no especificados",0.0
País Vasco,Ambos sexos,"X70. Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",57.0
País Vasco,Ambos sexos,X71. Lesión autoinfligida intencionalmente por ahogamiento y sumersión,6.0
País Vasco,Ambos sexos,X72. Lesión autoinfligida intencionalmente por disparo de arma corta,0.0
País Vasco,Ambos sexos,"X73. Lesión autoinfligida intencionalmente por disparo de rifle, escopeta y arma larga",5.0
País Vasco,Ambos sexos,"X74. Lesión autoinfligida intencionalmente por disparo de otras armas de fuego, y las no especificadas",0.0
País Vasco,Ambos sexos,X75. Lesión autoinfligida intencionalmente por material explosivo,0.0
País Vasco,Ambos sexos,"X76. Lesión autoinfligida intencionalmente por humo, fuego y llamas",0.0
País Vasco,Ambos sexos,"X77. Lesión autoinfligida intencionalmente por vapor de agua, otros vapores y objetos calientes",0.0
País Vasco,Ambos sexos,X78. Lesión autoinfligida intencionalmente por objeto cortante,6.0
País Vasco,Ambos sexos,X79. Lesión autoinfligida intencionalmente por objeto romo o sin filo,0.0
País Vasco,Ambos sexos,X80. Lesión autoinfligida intencionalmente al saltar desde un lugar elevado,76.0
País Vasco,Ambos sexos,X81. Lesión autoinfligida intencionalmente por arrojarse o colocarse delante de objeto en movimiento,5.0
País Vasco,Ambos sexos,X82. Lesión autoinfligida intencionalmente por colisión de vehículo de motor,0.0
País Vasco,Ambos sexos,X83. Lesión autoinfligida intencionalmente por otros medios especificados,0.0
País Vasco,Ambos sexos,X84. Lesión autoinfligida intencionalmente por medios no especificados,1.0
País Vasco,Hombres,Total,124.0
País Vasco,Hombres,"X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos",1.0
País Vasco,Hombres,"X61. Envenenamiento autoinfligido intencionalmente por (exposición a) drogas antiepilépticas, sedantes, hipnóticas, antiparkinsonianas y psicotrópicas, no clasificadas en otra parte",4.0
País Vasco,Hombres,"X62. Envenenamiento autoinfligido intencionalmente por (exposición a) narcóticos y psicodislépticos, no clasificados en otra parte",0.0
País Vasco,Hombres,X63. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas que actúan sobre el sistema nervioso autónomo,0.0
País Vasco,Hombres,"X64. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas, medicamentos y sustancias biológicas, y los no especificados",5.0
País Vasco,Hombres,X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol,0.0
País Vasco,Hombres,X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores,0.0
País Vasco,Hombres,X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores,2.0
País Vasco,Hombres,X68. Envenenamiento autoinfligido intencionalmente por (exposición a) plaguicidas,0.0
País Vasco,Hombres,"X69. Envenenamiento autoinfligido intencionalmente por (exposición a) otros productos químicos y sustancias nocivas, y los no especificados",0.0
País Vasco,Hombres,"X70. Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",45.0
País Vasco,Hombres,X71. Lesión autoinfligida intencionalmente por ahogamiento y sumersión,2.0
País Vasco,Hombres,X72. Lesión autoinfligida intencionalmente por disparo de arma corta,0.0
País Vasco,Hombres,"X73. Lesión autoinfligida intencionalmente por disparo de rifle, escopeta y arma larga",5.0
País Vasco,Hombres,"X74. Lesión autoinfligida intencionalmente por disparo de otras armas de fuego, y las no especificadas",0.0
País Vasco,Hombres,X75. Lesión autoinfligida intencionalmente por material explosivo,0.0
País Vasco,Hombres,"X76. Lesión autoinfligida intencionalmente por humo, fuego y llamas",0.0
País Vasco,Hombres,"X77. Lesión autoinfligida intencionalmente por vapor de agua, otros vapores y objetos calientes",0.0
País Vasco,Hombres,X78. Lesión autoinfligida intencionalmente por objeto cortante,6.0
País Vasco,Hombres,X79. Lesión autoinfligida intencionalmente por objeto romo o sin filo,0.0
País Vasco,Hombres,X80. Lesión autoinfligida intencionalmente al saltar desde un lugar elevado,49.0
País Vasco,Hombres,X81. Lesión autoinfligida intencionalmente por arrojarse o colocarse delante de objeto en movimiento,4.0
País Vasco,Hombres,X82. Lesión autoinfligida intencionalmente por colisión de vehículo de motor,0.0
País Vasco,Hombres,X83. Lesión autoinfligida intencionalmente por otros medios especificados,0.0
País Vasco,Hombres,X84. Lesión autoinfligida intencionalmente por medios no especificados,1.0
País Vasco,Mujeres,Total,50.0
País Vasco,Mujeres,"X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos",0.0
País Vasco,Mujeres,"X61. Envenenamiento autoinfligido intencionalmente por (exposición a) drogas antiepilépticas, sedantes, hipnóticas, antiparkinsonianas y psicotrópicas, no clasificadas en otra parte",3.0
País Vasco,Mujeres,"X62. Envenenamiento autoinfligido intencionalmente por (exposición a) narcóticos y psicodislépticos, no clasificados en otra parte",0.0
País Vasco,Mujeres,X63. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas que actúan sobre el sistema nervioso autónomo,0.0
País Vasco,Mujeres,"X64. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas, medicamentos y sustancias biológicas, y los no especificados",3.0
País Vasco,Mujeres,X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol,0.0
País Vasco,Mujeres,X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores,0.0
País Vasco,Mujeres,X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores,0.0
País Vasco,Mujeres,X68. Envenenamiento autoinfligido intencionalmente por (exposición a) plaguicidas,0.0
País Vasco,Mujeres,"X69. Envenenamiento autoinfligido intencionalmente por (exposición a) otros productos químicos y sustancias nocivas, y los no especificados",0.0
País Vasco,Mujeres,"X70. Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",12.0
País Vasco,Mujeres,X71. Lesión autoinfligida intencionalmente por ahogamiento y sumersión,4.0
País Vasco,Mujeres,X72. Lesión autoinfligida intencionalmente por disparo de arma corta,0.0
País Vasco,Mujeres,"X73. Lesión autoinfligida intencionalmente por disparo de rifle, escopeta y arma larga",0.0
País Vasco,Mujeres,"X74. Lesión autoinfligida intencionalmente por disparo de otras armas de fuego, y las no especificadas",0.0
País Vasco,Mujeres,X75. Lesión autoinfligida intencionalmente por material explosivo,0.0
País Vasco,Mujeres,"X76. Lesión autoinfligida intencionalmente por humo, fuego y llamas",0.0
País Vasco,Mujeres,"X77. Lesión autoinfligida intencionalmente por vapor de agua, otros vapores y objetos calientes",0.0
País Vasco,Mujeres,X78. Lesión autoinfligida intencionalmente por objeto cortante,0.0
País Vasco,Mujeres,X79. Lesión autoinfligida intencionalmente por objeto romo o sin filo,0.0
País Vasco,Mujeres,X80. Lesión autoinfligida intencionalmente al saltar desde un lugar elevado,27.0
País Vasco,Mujeres,X81. Lesión autoinfligida intencionalmente por arrojarse o colocarse delante de objeto en movimiento,1.0
País Vasco,Mujeres,X82. Lesión autoinfligida intencionalmente por colisión de vehículo de motor,0.0
País Vasco,Mujeres,X83. Lesión autoinfligida intencionalmente por otros medios especificados,0.0
País Vasco,Mujeres,X84. Lesión autoinfligida intencionalmente por medios no especificados,0.0
"Rioja, La",Ambos sexos,Total,30.0
"Rioja, La",Ambos sexos,"X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos",0.0
"Rioja, La",Ambos sexos,"X61. Envenenamiento autoinfligido intencionalmente por (exposición a) drogas antiepilépticas, sedantes, hipnóticas, antiparkinsonianas y psicotrópicas, no clasificadas en otra parte",0.0
"Rioja, La",Ambos sexos,"X62. Envenenamiento autoinfligido intencionalmente por (exposición a) narcóticos y psicodislépticos, no clasificados en otra parte",0.0
"Rioja, La",Ambos sexos,X63. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas que actúan sobre el sistema nervioso autónomo,0.0
"Rioja, La",Ambos sexos,"X64. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas, medicamentos y sustancias biológicas, y los no especificados",0.0
"Rioja, La",Ambos sexos,X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol,0.0
"Rioja, La",Ambos sexos,X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores,0.0
"Rioja, La",Ambos sexos,X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores,0.0
"Rioja, La",Ambos sexos,X68. Envenenamiento autoinfligido intencionalmente por (exposición a) plaguicidas,0.0
"Rioja, La",Ambos sexos,"X69. Envenenamiento autoinfligido intencionalmente por (exposición a) otros productos químicos y sustancias nocivas, y los no especificados",1.0
"Rioja, La",Ambos sexos,"X70. Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",12.0
"Rioja, La",Ambos sexos,X71. Lesión autoinfligida intencionalmente por ahogamiento y sumersión,3.0
"Rioja, La",Ambos sexos,X72. Lesión autoinfligida intencionalmente por disparo de arma corta,0.0
"Rioja, La",Ambos sexos,"X73. Lesión autoinfligida intencionalmente por disparo de rifle, escopeta y arma larga",1.0
"Rioja, La",Ambos sexos,"X74. Lesión autoinfligida intencionalmente por disparo de otras armas de fuego, y las no especificadas",0.0
"Rioja, La",Ambos sexos,X75. Lesión autoinfligida intencionalmente por material explosivo,0.0
"Rioja, La",Ambos sexos,"X76. Lesión autoinfligida intencionalmente por humo, fuego y llamas",0.0
"Rioja, La",Ambos sexos,"X77. Lesión autoinfligida intencionalmente por vapor de agua, otros vapores y objetos calientes",0.0
"Rioja, La",Ambos sexos,X78. Lesión autoinfligida intencionalmente por objeto cortante,2.0
"Rioja, La",Ambos sexos,X79. Lesión autoinfligida intencionalmente por objeto romo o sin filo,0.0
"Rioja, La",Ambos sexos,X80. Lesión autoinfligida intencionalmente al saltar desde un lugar elevado,10.0
"Rioja, La",Ambos sexos,X81. Lesión autoinfligida intencionalmente por arrojarse o colocarse delante de objeto en movimiento,1.0
"Rioja, La",Ambos sexos,X82. Lesión autoinfligida intencionalmente por colisión de vehículo de motor,0.0
"Rioja, La",Ambos sexos,X83. Lesión autoinfligida intencionalmente por otros medios especificados,0.0
"Rioja, La",Ambos sexos,X84. Lesión autoinfligida intencionalmente por medios no especificados,0.0
"Rioja, La",Hombres,Total,22.0
"Rioja, La",Hombres,"X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos",0.0
"Rioja, La",Hombres,"X61. Envenenamiento autoinfligido intencionalmente por (exposición a) drogas antiepilépticas, sedantes, hipnóticas, antiparkinsonianas y psicotrópicas, no clasificadas en otra parte",0.0
"Rioja, La",Hombres,"X62. Envenenamiento autoinfligido intencionalmente por (exposición a) narcóticos y psicodislépticos, no clasificados en otra parte",0.0
"Rioja, La",Hombres,X63. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas que actúan sobre el sistema nervioso autónomo,0.0
"Rioja, La",Hombres,"X64. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas, medicamentos y sustancias biológicas, y los no especificados",0.0
"Rioja, La",Hombres,X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol,0.0
"Rioja, La",Hombres,X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores,0.0
"Rioja, La",Hombres,X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores,0.0
"Rioja, La",Hombres,X68. Envenenamiento autoinfligido intencionalmente por (exposición a) plaguicidas,0.0
"Rioja, La",Hombres,"X69. Envenenamiento autoinfligido intencionalmente por (exposición a) otros productos químicos y sustancias nocivas, y los no especificados",1.0
"Rioja, La",Hombres,"X70. Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",8.0
"Rioja, La",Hombres,X71. Lesión autoinfligida intencionalmente por ahogamiento y sumersión,2.0
"Rioja, La",Hombres,X72. Lesión autoinfligida intencionalmente por disparo de arma corta,0.0
"Rioja, La",Hombres,"X73. Lesión autoinfligida intencionalmente por disparo de rifle, escopeta y arma larga",1.0
"Rioja, La",Hombres,"X74. Lesión autoinfligida intencionalmente por disparo de otras armas de fuego, y las no especificadas",0.0
"Rioja, La",Hombres,X75. Lesión autoinfligida intencionalmente por material explosivo,0.0
"Rioja, La",Hombres,"X76. Lesión autoinfligida intencionalmente por humo, fuego y llamas",0.0
"Rioja, La",Hombres,"X77. Lesión autoinfligida intencionalmente por vapor de agua, otros vapores y objetos calientes",0.0
"Rioja, La",Hombres,X78. Lesión autoinfligida intencionalmente por objeto cortante,2.0
"Rioja, La",Hombres,X79. Lesión autoinfligida intencionalmente por objeto romo o sin filo,0.0
"Rioja, La",Hombres,X80. Lesión autoinfligida intencionalmente al saltar desde un lugar elevado,7.0
"Rioja, La",Hombres,X81. Lesión autoinfligida intencionalmente por arrojarse o colocarse delante de objeto en movimiento,1.0
"Rioja, La",Hombres,X82. Lesión autoinfligida intencionalmente por colisión de vehículo de motor,0.0
"Rioja, La",Hombres,X83. Lesión autoinfligida intencionalmente por otros medios especificados,0.0
"Rioja, La",Hombres,X84. Lesión autoinfligida intencionalmente por medios no especificados,0.0
"Rioja, La",Mujeres,Total,8.0
"Rioja, La",Mujeres,"X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos",0.0
"Rioja, La",Mujeres,"X61. Envenenamiento autoinfligido intencionalmente por (exposición a) drogas antiepilépticas, sedantes, hipnóticas, antiparkinsonianas y psicotrópicas, no clasificadas en otra parte",0.0
"Rioja, La",Mujeres,"X62. Envenenamiento autoinfligido intencionalmente por (exposición a) narcóticos y psicodislépticos, no clasificados en otra parte",0.0
"Rioja, La",Mujeres,X63. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas que actúan sobre el sistema nervioso autónomo,0.0
"Rioja, La",Mujeres,"X64. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas, medicamentos y sustancias biológicas, y los no especificados",0.0
"Rioja, La",Mujeres,X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol,0.0
"Rioja, La",Mujeres,X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores,0.0
"Rioja, La",Mujeres,X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores,0.0
"Rioja, La",Mujeres,X68. Envenenamiento autoinfligido intencionalmente por (exposición a) plaguicidas,0.0
"Rioja, La",Mujeres,"X69. Envenenamiento autoinfligido intencionalmente por (exposición a) otros productos químicos y sustancias nocivas, y los no especificados",0.0
"Rioja, La",Mujeres,"X70. Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",4.0
"Rioja, La",Mujeres,X71. Lesión autoinfligida intencionalmente por ahogamiento y sumersión,1.0
"Rioja, La",Mujeres,X72. Lesión autoinfligida intencionalmente por disparo de arma corta,0.0
"Rioja, La",Mujeres,"X73. Lesión autoinfligida intencionalmente por disparo de rifle, escopeta y arma larga",0.0
"Rioja, La",Mujeres,"X74. Lesión autoinfligida intencionalmente por disparo de otras armas de fuego, y las no especificadas",0.0
"Rioja, La",Mujeres,X75. Lesión autoinfligida intencionalmente por material explosivo,0.0
"Rioja, La",Mujeres,"X76. Lesión autoinfligida intencionalmente por humo, fuego y llamas",0.0
"Rioja, La",Mujeres,"X77. Lesión autoinfligida intencionalmente por vapor de agua, otros vapores y objetos calientes",0.0
"Rioja, La",Mujeres,X78. Lesión autoinfligida intencionalmente por objeto cortante,0.0
"Rioja, La",Mujeres,X79. Lesión autoinfligida intencionalmente por objeto romo o sin filo,0.0
"Rioja, La",Mujeres,X80. Lesión autoinfligida intencionalmente al saltar desde un lugar elevado,3.0
"Rioja, La",Mujeres,X81. Lesión autoinfligida intencionalmente por arrojarse o colocarse delante de objeto en movimiento,0.0
"Rioja, La",Mujeres,X82. Lesión autoinfligida intencionalmente por colisión de vehículo de motor,0.0
"Rioja, La",Mujeres,X83. Lesión autoinfligida intencionalmente por otros medios especificados,0.0
"Rioja, La",Mujeres,X84. Lesión autoinfligida intencionalmente por medios no especificados,0.0
Ceuta,Ambos sexos,Total,2.0
Ceuta,Ambos sexos,"X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos",0.0
Ceuta,Ambos sexos,"X61. Envenenamiento autoinfligido intencionalmente por (exposición a) drogas antiepilépticas, sedantes, hipnóticas, antiparkinsonianas y psicotrópicas, no clasificadas en otra parte",0.0
Ceuta,Ambos sexos,"X62. Envenenamiento autoinfligido intencionalmente por (exposición a) narcóticos y psicodislépticos, no clasificados en otra parte",0.0
Ceuta,Ambos sexos,X63. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas que actúan sobre el sistema nervioso autónomo,0.0
Ceuta,Ambos sexos,"X64. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas, medicamentos y sustancias biológicas, y los no especificados",0.0
Ceuta,Ambos sexos,X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol,0.0
Ceuta,Ambos sexos,X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores,0.0
Ceuta,Ambos sexos,X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores,0.0
Ceuta,Ambos sexos,X68. Envenenamiento autoinfligido intencionalmente por (exposición a) plaguicidas,0.0
Ceuta,Ambos sexos,"X69. Envenenamiento autoinfligido intencionalmente por (exposición a) otros productos químicos y sustancias nocivas, y los no especificados",0.0
Ceuta,Ambos sexos,"X70. Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",2.0
Ceuta,Ambos sexos,X71. Lesión autoinfligida intencionalmente por ahogamiento y sumersión,0.0
Ceuta,Ambos sexos,X72. Lesión autoinfligida intencionalmente por disparo de arma corta,0.0
Ceuta,Ambos sexos,"X73. Lesión autoinfligida intencionalmente por disparo de rifle, escopeta y arma larga",0.0
Ceuta,Ambos sexos,"X74. Lesión autoinfligida intencionalmente por disparo de otras armas de fuego, y las no especificadas",0.0
Ceuta,Ambos sexos,X75. Lesión autoinfligida intencionalmente por material explosivo,0.0
Ceuta,Ambos sexos,"X76. Lesión autoinfligida intencionalmente por humo, fuego y llamas",0.0
Ceuta,Ambos sexos,"X77. Lesión autoinfligida intencionalmente por vapor de agua, otros vapores y objetos calientes",0.0
Ceuta,Ambos sexos,X78. Lesión autoinfligida intencionalmente por objeto cortante,0.0
Ceuta,Ambos sexos,X79. Lesión autoinfligida intencionalmente por objeto romo o sin filo,0.0
Ceuta,Ambos sexos,X80. Lesión autoinfligida intencionalmente al saltar desde un lugar elevado,0.0
Ceuta,Ambos sexos,X81. Lesión autoinfligida intencionalmente por arrojarse o colocarse delante de objeto en movimiento,0.0
Ceuta,Ambos sexos,X82. Lesión autoinfligida intencionalmente por colisión de vehículo de motor,0.0
Ceuta,Ambos sexos,X83. Lesión autoinfligida intencionalmente por otros medios especificados,0.0
Ceuta,Ambos sexos,X84. Lesión autoinfligida intencionalmente por medios no especificados,0.0
Ceuta,Hombres,Total,1.0
Ceuta,Hombres,"X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos",0.0
Ceuta,Hombres,"X61. Envenenamiento autoinfligido intencionalmente por (exposición a) drogas antiepilépticas, sedantes, hipnóticas, antiparkinsonianas y psicotrópicas, no clasificadas en otra parte",0.0
Ceuta,Hombres,"X62. Envenenamiento autoinfligido intencionalmente por (exposición a) narcóticos y psicodislépticos, no clasificados en otra parte",0.0
Ceuta,Hombres,X63. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas que actúan sobre el sistema nervioso autónomo,0.0
Ceuta,Hombres,"X64. Envenenamiento autoinfligido intencionalmente por (exposición a) otras drogas, medicamentos y sustancias biológicas, y los no especificados",0.0
Ceuta,Hombres,X65. Envenenamiento autoinfligido intencionalmente por (exposición a) alcohol,0.0
Ceuta,Hombres,X66. Envenenamiento autoinfligido intencionalmente por (exposición a) disolventes orgánicos e hidrocarburos halogenados y sus vapores,0.0
Ceuta,Hombres,X67. Envenenamiento autoinfligido intencionalmente por (exposición a) otros gases y vapores,0.0
Ceuta,Hombres,X68. Envenenamiento autoinfligido intencionalmente por (exposición a) plaguicidas,0.0
Ceuta,Hombres,"X69. Envenenamiento autoinfligido intencionalmente por (exposición a) otros productos químicos y sustancias nocivas, y los no especificados",0.0
Ceuta,Hombres,"X70. Lesión autoinfligida intencionalmente por ahorcamiento, estrangulamiento o sofocación",1.0
Ceuta,Hombres,X71. Lesión autoinfligida intencionalmente por ahogamiento y sumersión,0.0
Ceuta,Hombres,X72. Lesión autoinfligida intencionalmente por disparo de arma corta,0.0
Ceuta,Hombres,"X73. Lesión autoinfligida intencionalmente por disparo de rifle, escopeta y arma larga",0.0
Ceuta,Hombres,"X74. Lesión autoinfligida intencionalmente por disparo de otras armas de fuego, y las no especificadas",0.0
Ceuta,Hombres,X75. Lesión autoinfligida intencionalmente por material explosivo,0.0
Ceuta,Hombres,"X76. Lesión autoinfligida intencionalmente por humo, fuego y llamas",0.0
